COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Chile,APR2010,April 2010,2010,4,April,Others,757.505,24,8134.076,,0.1657189211255336
Chile,APR2010,April 2010,2010,4,April,Other renewables aggregated,152.826,25,2128.172,,0.0334336536919634
Chile,APR2010,April 2010,2010,4,April,Low carbon,1922.934,26,24213.17,,0.4206791346269751
Chile,APR2010,April 2010,2010,4,April,Fossil fuels,2657.423,27,34232.823,,0.58136285903615
Chile,MAY2010,May 2010,2010,5,May,Hydro,1839.581,1,21641.001,,0.3889400428650351
Chile,MAY2010,May 2010,2010,5,May,Wind,15.092,2,332.001,,0.0031908804923072
Chile,MAY2010,May 2010,2010,5,May,Total combustible fuels,2865.723,7,36249.001,,0.6058958134810684
Chile,MAY2010,May 2010,2010,5,May,Coal,1500.755,8,15974.071,,0.3173025346695339
Chile,MAY2010,May 2010,2010,5,May,Oil,348.969,9,8022.08,,0.0737820285263701
Chile,MAY2010,May 2010,2010,5,May,Natural gas,866.73,10,10124.676,,0.1832515139873764
Chile,MAY2010,May 2010,2010,5,May,Combustible renewables,149.268,11,2128.172,,0.0315595248691838
Chile,MAY2010,May 2010,2010,5,May,Not specified,9.333,13,111.996,,0.0019732631615891
Chile,MAY2010,May 2010,2010,5,May,Net electricity production,4729.729,14,58334.001,,1.0
Chile,MAY2010,May 2010,2010,5,May,Total imports,116.1,15,958.0,,0.0245468609300871
Chile,MAY2010,May 2010,2010,5,May,Electricity supplied,4845.829,17,59292.001,,1.024546860930087
Chile,MAY2010,May 2010,2010,5,May,Distribution losses,409.217,19,4967.0,,0.0865201790631133
Chile,MAY2010,May 2010,2010,5,May,Final consumption,4436.612,20,54325.001,,0.9380266818669736
Chile,MAY2010,May 2010,2010,5,May,Electricity trade,-116.1,21,-958.0,,-0.0245468609300871
Chile,MAY2010,May 2010,2010,5,May,Renewables,2003.941,22,24101.174,,0.4236904482265263
Chile,MAY2010,May 2010,2010,5,May,Non-renewables,2725.787,23,34232.823,,0.5763093403448696
Chile,MAY2010,May 2010,2010,5,May,Others,358.302,24,8134.076,,0.0757552916879592
Chile,MAY2010,May 2010,2010,5,May,Other renewables aggregated,149.268,25,2128.172,,0.0315595248691838
Chile,MAY2010,May 2010,2010,5,May,Low carbon,2013.274,26,24213.17,,0.4256637113881154
Chile,MAY2010,May 2010,2010,5,May,Fossil fuels,2725.787,27,34232.823,,0.5763093403448696
Chile,JUN2010,June 2010,2010,6,June,Hydro,1649.965,1,21641.001,,0.3373024796551182
Chile,JUN2010,June 2010,2010,6,June,Wind,18.945,2,332.001,,0.0038729278966924
Chile,JUN2010,June 2010,2010,6,June,Total combustible fuels,3213.405,7,36249.001,,0.6569166464962319
Chile,JUN2010,June 2010,2010,6,June,Coal,1484.813,8,15974.071,,0.3035404428119112
Chile,JUN2010,June 2010,2010,6,June,Oil,752.733,9,8022.08,,0.1538812686440234
Chile,JUN2010,June 2010,2010,6,June,Natural gas,819.433,10,10124.676,,0.1675167550894913
Chile,JUN2010,June 2010,2010,6,June,Combustible renewables,156.426,11,2128.172,,0.0319781799508059
Chile,JUN2010,June 2010,2010,6,June,Not specified,9.333,13,111.996,,0.0019079459519572
Chile,JUN2010,June 2010,2010,6,June,Net electricity production,4891.648,14,58334.001,,1.0
Chile,JUN2010,June 2010,2010,6,June,Total imports,46.307,15,958.0,,0.0094665437905589
Chile,JUN2010,June 2010,2010,6,June,Electricity supplied,4937.955,17,59292.001,,1.0094665437905588
Chile,JUN2010,June 2010,2010,6,June,Distribution losses,413.652,19,4967.0,,0.0845629121310445
Chile,JUN2010,June 2010,2010,6,June,Final consumption,4524.304,20,54325.001,,0.924903836089596
Chile,JUN2010,June 2010,2010,6,June,Electricity trade,-46.307,21,-958.0,,-0.0094665437905589
Chile,JUN2010,June 2010,2010,6,June,Renewables,1825.336,22,24101.174,,0.3731535875026167
Chile,JUN2010,June 2010,2010,6,June,Non-renewables,3066.312,23,34232.823,,0.6268464124973833
Chile,JUN2010,June 2010,2010,6,June,Others,762.066,24,8134.076,,0.1557892145959807
Chile,JUN2010,June 2010,2010,6,June,Other renewables aggregated,156.426,25,2128.172,,0.0319781799508059
Chile,JUN2010,June 2010,2010,6,June,Low carbon,1834.669,26,24213.17,,0.375061533454574
Chile,JUN2010,June 2010,2010,6,June,Fossil fuels,3066.312,27,34232.823,,0.6268464124973833
Chile,JUL2010,July 2010,2010,7,July,Hydro,1754.004,1,21641.001,,0.3381052194922418
Chile,JUL2010,July 2010,2010,7,July,Wind,24.16,2,332.001,,0.0046571285486991
Chile,JUL2010,July 2010,2010,7,July,Total combustible fuels,3400.248,7,36249.001,,0.6554384119808487
Chile,JUL2010,July 2010,2010,7,July,Coal,1459.547,8,15974.071,,0.2813451159713679
Chile,JUL2010,July 2010,2010,7,July,Oil,991.32,9,8022.08,,0.1910887695735296
Chile,JUL2010,July 2010,2010,7,July,Natural gas,770.437,10,10124.676,,0.1485109332646586
Chile,JUL2010,July 2010,2010,7,July,Combustible renewables,178.945,11,2128.172,,0.0344937859332357
Chile,JUL2010,July 2010,2010,7,July,Not specified,9.333,13,111.996,,0.0017990472162669
Chile,JUL2010,July 2010,2010,7,July,Net electricity production,5187.746,14,58334.001,,1.0
Chile,JUL2010,July 2010,2010,7,July,Electricity supplied,5187.746,17,59292.001,,1.0
Chile,JUL2010,July 2010,2010,7,July,Distribution losses,432.257,19,4967.0,,0.0833226992994645
Chile,JUL2010,July 2010,2010,7,July,Final consumption,4755.488,20,54325.001,,0.9166771079385924
Chile,JUL2010,July 2010,2010,7,July,Renewables,1957.109,22,24101.174,,0.3772561339741768
Chile,JUL2010,July 2010,2010,7,July,Non-renewables,3230.637,23,34232.823,,0.6227438660258232
Chile,JUL2010,July 2010,2010,7,July,Others,1000.653,24,8134.076,,0.1928878167897965
Chile,JUL2010,July 2010,2010,7,July,Other renewables aggregated,178.945,25,2128.172,,0.0344937859332357
Chile,JUL2010,July 2010,2010,7,July,Low carbon,1966.442,26,24213.17,,0.3790551811904438
Chile,JUL2010,July 2010,2010,7,July,Fossil fuels,3230.637,27,34232.823,,0.6227438660258232
Chile,AUG2010,August 2010,2010,8,August,Hydro,1498.787,1,21641.001,,0.2905757299692845
Chile,AUG2010,August 2010,2010,8,August,Wind,20.083,2,332.001,,0.0038935701904094
Chile,AUG2010,August 2010,2010,8,August,Total combustible fuels,3629.788,7,36249.001,,0.7037212744264191
Chile,AUG2010,August 2010,2010,8,August,Coal,1476.771,8,15974.071,,0.2863074014669665
Chile,AUG2010,August 2010,2010,8,August,Oil,1131.87,9,8022.08,,0.2194400882048844
Chile,AUG2010,August 2010,2010,8,August,Natural gas,869.743,10,10124.676,,0.1686204958480928
Chile,AUG2010,August 2010,2010,8,August,Combustible renewables,151.404,11,2128.172,,0.0293532889064754
Chile,AUG2010,August 2010,2010,8,August,Not specified,9.333,13,111.996,,0.0018094254138869
Chile,AUG2010,August 2010,2010,8,August,Net electricity production,5157.991,14,58334.001,,1.0
Chile,AUG2010,August 2010,2010,8,August,Electricity supplied,5157.991,17,59292.001,,1.0
Chile,AUG2010,August 2010,2010,8,August,Distribution losses,429.082,19,4967.0,,0.0831878147906811
Chile,AUG2010,August 2010,2010,8,August,Final consumption,4728.909,20,54325.001,,0.9168121852093188
Chile,AUG2010,August 2010,2010,8,August,Renewables,1670.274,22,24101.174,,0.3238225890661693
Chile,AUG2010,August 2010,2010,8,August,Non-renewables,3487.717,23,34232.823,,0.6761774109338307
Chile,AUG2010,August 2010,2010,8,August,Others,1141.203,24,8134.076,,0.2212495136187713
Chile,AUG2010,August 2010,2010,8,August,Other renewables aggregated,151.404,25,2128.172,,0.0293532889064754
Chile,AUG2010,August 2010,2010,8,August,Low carbon,1679.607,26,24213.17,,0.3256320144800563
Chile,AUG2010,August 2010,2010,8,August,Fossil fuels,3487.717,27,34232.823,,0.6761774109338307
Chile,SEP2010,September 2010,2010,9,September,Hydro,1705.578,1,21641.001,,0.3496322930258158
Chile,SEP2010,September 2010,2010,9,September,Wind,109.861,2,332.001,,0.0225207837718997
Chile,SEP2010,September 2010,2010,9,September,Total combustible fuels,3053.433,7,36249.001,,0.6259337194726339
Chile,SEP2010,September 2010,2010,9,September,Coal,953.081,8,15974.071,,0.1953753481044769
Chile,SEP2010,September 2010,2010,9,September,Oil,1014.763,9,8022.08,,0.2080197531674048
